Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Sciuridae,89707,180175,Active,Sciurus carolinensis,Northern gray squirrel,Sciurus carolinensis pennsylvanicus,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Sciuridae,89704,180172,Active,Sciurus niger,Fox Squirrel,"Sciurus niger niger, Sciurus niger vulpinus, Sciurus niger vicinus",Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Sciuridae,90667,180207,Active,Tamias striatus,Eastern Chipmunk,,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Sciuridae,89697,180166,Active,Tamiasciurus hudsonicus,Red Squirrel,"Tamiasciurus hudsonicus hudsonicus, Tamiasciurus hudsonicus loquax",Present
SHEN,Shenandoah National Park,Mammal,1,Soricomorpha,Soricidae,88683,179967,Active,Blarina brevicauda,Northern Short-tailed Shrew,"Blarina brevicauda ssp. kirtlandi, Blarina brevicauda kirtlandi",Present
SHEN,Shenandoah National Park,Mammal,1,Soricomorpha,Soricidae,88688,179971,Active,Cryptotis parva,Least Shrew,,Present
SHEN,Shenandoah National Park,Mammal,1,Soricomorpha,Soricidae,88122,179929,Active,Sorex cinereus,Masked Shrew,"Sorex cinereus ssp. fontinalis, Sorex cinereus fontinalis",Present
SHEN,Shenandoah National Park,Mammal,1,Soricomorpha,Soricidae,88655,179941,Active,Sorex dispar,long-tailed shrew,,Probably Present
SHEN,Shenandoah National Park,Mammal,1,Soricomorpha,Soricidae,88657,179943,Active,Sorex fumeus,Smoky Shrew,,Present
SHEN,Shenandoah National Park,Mammal,1,Soricomorpha,Soricidae,88660,179946,Active,Sorex hoyi,Pygmy Shrew,,Present
SHEN,Shenandoah National Park,Mammal,1,Soricomorpha,Soricidae,88130,179936,Active,Sorex longirostris,Southeastern Shrew,Sorex longirostris longirostris,Present
SHEN,Shenandoah National Park,Mammal,1,Soricomorpha,Soricidae,88127,179933,Active,Sorex palustris,Water Shrew,,Present
SHEN,Shenandoah National Park,Mammal,1,Soricomorpha,Talpidae,88680,179964,Active,Condylura cristata,Star-nosed Mole,"Condylura cristata parva, Condylura cristata ssp. parva",Present
SHEN,Shenandoah National Park,Mammal,1,Soricomorpha,Talpidae,88694,179977,Active,Parascalops breweri,Hairy-tailed Mole,,Present
SHEN,Shenandoah National Park,Mammal,1,Soricomorpha,Talpidae,88696,179979,Active,Scalopus aquaticus,Eastern Mole,,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309,Active,Accipiter cooperii,Cooper's Hawk,,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Accipitridae,79508,175300,Active,Accipiter gentilis,Northern Goshawk,,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,Accipiter striatus velox,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Accipitridae,80429,175407,Active,Aquila chrysaetos,Golden Eagle,,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed Hawk,,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Accipitridae,80391,175373,Active,Buteo lagopus,Rough-legged Hawk,Buteo lagopus sanctijohannis,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Accipitridae,79572,175359,Active,Buteo lineatus,Red-shouldered Hawk,Buteo lineatus lineatus,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Accipitridae,79579,175365,Active,Buteo platypterus,Broad-winged Hawk,,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern Harrier,,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Accipitridae,80444,175420,Active,Haliaeetus leucocephalus,Bald Eagle,Haliaeetus leucocephalus leucocephalus,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Cathartidae,79468,175265,Active,Cathartes aura,Turkey Vulture,,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Cathartidae,79476,175272,Active,Coragyps atratus,Black Vulture,,Present
SHEN,Shenandoah National Park,Bird,2,Accipitriformes,Pandionidae,81838,175590,Active,Pandion haliaetus,Osprey,Pandion haliaetus carolinensis,Present
SHEN,Shenandoah National Park,Bird,2,Anseriformes,Anatidae,77836,175122,Active,Aix sponsa,Wood Duck,,Present
SHEN,Shenandoah National Park,Bird,2,Anseriformes,Anatidae,77790,175081,Active,Anas crecca,Green-winged Teal,Anas crecca carolinensis,Present
SHEN,Shenandoah National Park,Bird,2,Anseriformes,Anatidae,77795,175086,Active,Anas discors,Blue-winged Teal,Anas discors orphna,Present
SHEN,Shenandoah National Park,Bird,2,Anseriformes,Anatidae,77770,175063,Active,Anas platyrhynchos,Mallard,,Present
SHEN,Shenandoah National Park,Bird,2,Anseriformes,Anatidae,77775,175068,Active,Anas rubripes,American Black Duck,,Present
SHEN,Shenandoah National Park,Bird,2,Anseriformes,Anatidae,76625,174999,Active,Branta canadensis,Canada Goose,,Present
SHEN,Shenandoah National Park,Bird,2,Anseriformes,Anatidae,76613,174988,Active,Cygnus columbianus columbianus,Tundra Swan,,Present
SHEN,Shenandoah National Park,Bird,2,Apodiformes,Apodidae,83046,178001,Active,Chaetura pelagica,Chimney Swift,,Present
SHEN,Shenandoah National Park,Bird,2,Apodiformes,Trochilidae,83884,178032,Active,Archilochus colubris,Ruby-throated Hummingbird,,Present
SHEN,Shenandoah National Park,Bird,2,Caprimulgiformes,Caprimulgidae,669787,-746237,Inactive,Antrostomus vociferus,Whip-poor-will,Caprimulgus vociferus,Present
SHEN,Shenandoah National Park,Bird,2,Caprimulgiformes,Caprimulgidae,83019,177979,Active,Chordeiles minor,Common Nighthawk,,Present
SHEN,Shenandoah National Park,Bird,2,Charadriiformes,Charadriidae,77646,176520,Active,Charadrius vociferus,Killdeer,,Present
SHEN,Shenandoah National Park,Bird,2,Charadriiformes,Laridae,81064,176824,Active,Larus argentatus,Herring Gull,,Present
SHEN,Shenandoah National Park,Bird,2,Charadriiformes,Laridae,81071,176830,Active,Larus delawarensis,Ring-billed gull,,Present
SHEN,Shenandoah National Park,Bird,2,Charadriiformes,Laridae,81175,176924,Active,Sterna caspia,Caspian Tern,,Present
SHEN,Shenandoah National Park,Bird,2,Charadriiformes,Scolopacidae,79222,176612,Active,Actitis macularia,Spotted Sandpiper,,Present
SHEN,Shenandoah National Park,Bird,2,Charadriiformes,Scolopacidae,79220,176610,Active,Bartramia longicauda,Upland Sandpiper,,Present
SHEN,Shenandoah National Park,Bird,2,Charadriiformes,Scolopacidae,80257,176700,Active,Gallinago gallinago,Common Snipe,,Present
SHEN,Shenandoah National Park,Bird,2,Charadriiformes,Scolopacidae,79186,176580,Active,Scolopax minor,American Woodcock,Philohela minor,Present
SHEN,Shenandoah National Park,Bird,2,Charadriiformes,Scolopacidae,79225,176615,Active,Tringa solitaria,Solitary Sandpiper,,Present
SHEN,Shenandoah National Park,Bird,2,Columbiformes,Columbidae,82677,177071,Active,Columba livia,Rock Dove,,Present
SHEN,Shenandoah National Park,Bird,2,Columbiformes,Columbidae,82737,177125,Active,Zenaida macroura,Mourning Dove,Zenaida macroura carolinensis,Present
SHEN,Shenandoah National Park,Bird,2,Coraciiformes,Alcedinidae,83966,178106,Active,Megaceryle alcyon,Belted Kingfisher,Ceryle alcyon,Present
SHEN,Shenandoah National Park,Bird,2,Cuculiformes,Cuculidae,89102,177831,Active,Coccyzus americanus,Yellow-billed Cuckoo,,Present
SHEN,Shenandoah National Park,Bird,2,Cuculiformes,Cuculidae,89105,177834,Active,Coccyzus erythropthalmus,Black-billed Cuckoo,,Present
SHEN,Shenandoah National Park,Bird,2,Falconiformes,Falconidae,82533,175613,Active,Falco columbarius,Merlin,,Present
SHEN,Shenandoah National Park,Bird,2,Falconiformes,Falconidae,81854,175604,Active,Falco peregrinus,Peregrine Falcon,,Present
SHEN,Shenandoah National Park,Bird,2,Falconiformes,Falconidae,82543,175622,Active,Falco sparverius,American Kestrel,Falco sparverius sparverius,Present
SHEN,Shenandoah National Park,Bird,2,Galliformes,Odontophoridae,84281,175863,Active,Colinus virginianus,Northern Bobwhite,,Present
SHEN,Shenandoah National Park,Bird,2,Galliformes,Phasianidae,83131,175790,Active,Bonasa umbellus,Ruffed Grouse,,Present
SHEN,Shenandoah National Park,Bird,2,Galliformes,Phasianidae,86451,176136,Active,Meleagris gallopavo,Wild Turkey,Meleagris gallopavo silvestris,Present
SHEN,Shenandoah National Park,Bird,2,Galliformes,Phasianidae,84328,175905,Active,Phasianus colchicus,Ring-necked Pheasant,,Present
SHEN,Shenandoah National Park,Bird,2,Gruiformes,Rallidae,87212,176221,Active,Rallus limicola,Virginia Rail,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,,926917,,Inactive,Haemorhous mexicanus,House Finch,Carpodacus mexicanus,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,,926918,,Inactive,Haemorhous purpureus,Purple Finch,Carpodacus purpureus,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Alaudidae,264079,554256,Active,Eremophila alpestris,Horned Lark,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Bombycillidae,88296,178532,Active,Bombycilla cedrorum,Cedar Waxwing,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Calcariidae,85681,179526,Active,Calcarius lapponicus,Lapland Longspur,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Calcariidae,85688,179532,Active,Plectrophenax nivalis,Snow Bunting,Plectrophenax nivalis nivalis,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Cardinalidae,94228,179124,Active,Cardinalis cardinalis,Northern Cardinal,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Cardinalidae,628204,726198,Active,Passerina caerulea,Blue Grosbeak,"Guiraca caerulea, Guiraca caerulea caerulea",Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Cardinalidae,94257,179150,Active,Passerina cyanea,Indigo Bunting,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Cardinalidae,94244,179139,Active,Pheucticus ludovicianus,Rose-breasted Grosbeak,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Cardinalidae,88071,179883,Active,Piranga olivacea,Scarlet Tanager,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Cardinalidae,88076,179888,Active,Piranga rubra,Summer Tanager,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Certhiidae,90967,178803,Active,Certhia americana,Brown Creeper,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Corvidae,87106,179731,Active,Corvus brachyrhynchos,American Crow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Corvidae,87099,179725,Active,Corvus corax,Common Raven,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Corvidae,87112,179737,Active,Corvus ossifragus,Fish Crow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Corvidae,86252,179680,Active,Cyanocitta cristata,Blue Jay,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,84676,179340,Active,Ammodramus henslowii,Henslow's Sparrow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,83867,179333,Active,Ammodramus savannarum,Grasshopper Sparrow,Ammodramus savannarum pratensis,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,84754,179410,Active,Junco hyemalis,Dark-eyed Junco,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,85638,179488,Active,Melospiza georgiana,Swamp Sparrow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,85634,179484,Active,Melospiza lincolnii,Lincoln's Sparrow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,85643,179492,Active,Melospiza melodia,Song Sparrow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,83846,179314,Active,Passerculus sandwichensis,Savannah Sparrow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,85612,179464,Active,Passerella iliaca,Fox Sparrow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,83803,179276,Active,Pipilo erythrophthalmus,Eastern Towhee,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,84704,179366,Active,Pooecetes gramineus,Vesper Sparrow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,84778,179432,Active,Spizella arborea,American Tree Sparrow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,84781,179435,Active,Spizella passerina,Chipping Sparrow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,84790,179443,Active,Spizella pusilla,Field Sparrow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,85610,179462,Active,Zonotrichia albicollis,White-throated Sparrow,,Present
SHEN,Shenandoah National Park,Bird,2,Passeriformes,Emberizidae,85602,179455,Active,Zonotrichia leucophrys,White-crowned Sparrow,,Present
