Code,Place_Name,Category,Sort,OrderName,FamilyName,Taxon,TSN,TaxonRecordStatus,ScientificName,CommonNames,Synonyms,Occurrence,Code ,Latitude,Longitude
CHIS,Channel Islands National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016.0,Active,Lasiurus borealis,Red Bat,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017.0,Active,Lasiurus cinereus,Hoary Bat,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991.0,Active,Myotis californicus,California Myotis,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995.0,Active,Myotis evotis,Long-eared Myotis,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002.0,Active,Myotis thysanodes,Fringed Myotis,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Chiroptera,Vespertilionidae,106783,202345.0,Active,Plecotus townsendii townsendii,Townsend's Big-eared Bat,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Rodentia,Cricetidae,90743,180276.0,Active,Peromyscus maniculatus,Deer Mouse,"Peromyscus maniculatus anacapae, Peromyscus maniculatus santacruzae, Peromyscus maniculatus santarosae, Peromyscus maniculatus elusus",Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Rodentia,Cricetidae,91737,180343.0,Active,Reithrodontomys megalotis,Western Harvest Mouse,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Rodentia,Muridae,91758,180362.0,Active,Rattus rattus,Black Rat,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309.0,Active,Accipiter cooperii,Cooper's Hawk,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Accipitriformes,Accipitridae,79508,175300.0,Active,Accipiter gentilis,Northern Goshawk,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304.0,Active,Accipiter striatus,Sharp-shinned Hawk,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Accipitriformes,Accipitridae,80429,175407.0,Active,Aquila chrysaetos,Golden Eagle,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350.0,Active,Buteo jamaicensis,Red-tailed Hawk,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Accipitriformes,Accipitridae,80391,175373.0,Active,Buteo lagopus,Rough-legged Hawk,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Accipitriformes,Accipitridae,79581,175367.0,Active,Buteo swainsoni,Swainson's Hawk,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430.0,Active,Circus cyaneus,Northern Harrier,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Accipitriformes,Accipitridae,79487,175282.0,Active,Elanus leucurus,White-tailed Kite,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Accipitriformes,Pandionidae,81838,175590.0,Active,Pandion haliaetus,Osprey,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77836,175122.0,Active,Aix sponsa,Wood Duck,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77782,175074.0,Active,Anas acuta,Northern Pintail,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77804,175094.0,Active,Anas americana,American Wigeon,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77806,175096.0,Active,Anas clypeata,Northern Shoveler,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77790,175081.0,Active,Anas crecca,Green-winged Teal,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77798,175089.0,Active,Anas cyanoptera,Cinnamon Teal,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77795,175086.0,Active,Anas discors,Blue-winged Teal,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77802,175092.0,Active,Anas penelope,Eurasian Wigeon,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77770,175063.0,Active,Anas platyrhynchos,Mallard,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77723,175020.0,Active,Anser albifrons,Greater White-fronted Goose,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78519,175134.0,Active,Aythya affinis,Lesser Scaup,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77839,175125.0,Active,Aythya americana,Redhead,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78512,175128.0,Active,Aythya collaris,Ring-necked Duck,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78513,175129.0,Active,Aythya valisineria,Canvasback,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77713,175011.0,Active,Branta bernicla,Brant,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,76625,174999.0,Active,Branta canadensis,Canada Goose,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78531,175145.0,Active,Bucephala albeola,Bufflehead,,Present,CHIS,33.998028000000005,-119.772949
